ID,# of record,reaction time (seconds),time indicate,times of day,"stimulate (yes=1, no=0)",fatigue,hunger,"busy=1, light=0","illness(yes=1, no=0)",hour of sleep,"protocol(yes=1, no=0)",MEQ,Note,
34,5,0.526,1,8:02,1,3,3,0,0,#N/A,1,55,,
34,6,0.369,2,13:23,0,1,3,0,0,#N/A,1,55,,
34,7,0.12,3,19:32,0,2,4,0,0,#N/A,1,55,,
34,8,#N/A,4,#N/A,#N/A,#N/A,#N/A,0,0,#N/A,0,55,forgot,
36,1,0.452,1,8:45,0,4,4,1,0,7.7,1,46,,
36,2,0.388,2,13:00,0,3,7,1,0,7.7,1,46,,
36,3,0.385,3,16:00,0,3,5,1,0,7.7,1,46,,
36,4,0.459,4,0:35,0,5,5,1,0,7.7,1,46,,
36,5,0.432,1,8:27,0,5,4,0,0,7.2,1,46,,
36,6,0.374,2,13:00,0,2,7,0,0,7.2,1,46,,
36,7,0.386,3,16:00,0,3,5,0,0,7.2,1,46,,
36,8,0.488,4,1:00,0,6,4,0,0,7.2,1,46,,
37,1,0.362,1,9:30,0,5,3,0,0,5,1,48,,
37,2,0.347,2,13:30,0,5,5,0,0,5,1,48,,
37,3,0.362,3,19:30,1,5,6,0,0,5,1,48,,
37,4,0.364,4,23:30,0,4,5,0,0,5,1,48,,
37,5,0.326,1,7:30,0,2,4,1,0,9,1,48,,
37,6,0.313,2,11:30,1,2,4,1,0,9,1,48,,
37,7,0.313,3,17:30,0,4,5,1,0,9,1,48,,
37,8,0.324,4,21:30,0,5,4,1,0,9,1,48,,
38,1,0.365,1,10:23,0,3,6,1,0,7.5,1,37,,
38,2,0.364,2,15:15,0,2,4,1,0,7.5,1,37,,
38,3,0.411,3,20:30,0,4,7,1,0,7.5,1,37,,
38,4,0.363,4,0:45,0,4,4,1,0,7.5,1,37,,
38,5,0.413,1,11:00,0,4,3,0,0,8,1,37,,
38,6,0.328,2,15:42,0,2,4,0,0,8,1,37,,
38,7,0.354,3,20:59,0,3,6,0,0,8,1,37,,
38,8,0.421,4,1:15,0,5,3,0,0,8,1,37,,
39,1,0.355,1,11:45,0,3,5,0,0,8,#N/A,46,,
39,2,0.397,2,16:33,0,4,5,0,0,8,#N/A,46,,
39,3,0.416,3,21:29,0,5,4,0,0,8,#N/A,46,,
39,4,0.405,4,22:45,0,5,3,0,0,8,#N/A,46,,
39,5,0.46,1,0:00,0,5,4,1,0,8,#N/A,46,,
39,6,0.357,2,16:30,0,3,3,1,0,8,#N/A,46,,
39,7,0.49,3,12:00,0,4,8,1,0,8,#N/A,46,,
39,8,0.452,4,6:30,0,5,5,1,0,8,#N/A,46,,
40,1,0.303,1,11:02,0,5,3,0,0,8,#N/A,34,,
40,2,0.249,2,15:08,0,4,5,0,0,8,#N/A,34,,
40,3,0.23,3,20:21,0,1,5,0,0,8,#N/A,34,,
40,4,0.299,4,1:49,0,5,6,0,0,8,#N/A,34,,
40,5,0.269,1,10:50,0,4,3,1,0,7.5,#N/A,34,,
40,6,0.304,2,14:28,0,3,6,1,0,7.5,#N/A,34,,
40,7,0.255,3,19:43,0,2,6,1,0,7.5,#N/A,34,,
40,8,0.367,4,23:29,0,3,5,1,0,7.5,#N/A,34,,
